brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
67144.0,for_sale,449000.0,4.0,2.0,0.2,1470696.0,Bloomfield,New Jersey,7003.0,1865.0,1994-01-14
22611.0,for_sale,424000.0,3.0,2.0,0.08,867479.0,Bloomfield,New Jersey,7003.0,1440.0,2018-06-14
14940.0,for_sale,635000.0,3.0,2.0,0.17,932584.0,Bloomfield,New Jersey,7003.0,1622.0,1991-05-07
45949.0,for_sale,650000.0,4.0,4.0,0.16,1229218.0,Bloomfield,New Jersey,7003.0,1939.0,2020-02-24
51478.0,for_sale,675000.0,4.0,2.0,0.12,375120.0,Bloomfield,New Jersey,7003.0,2800.0,2021-03-24
41548.0,for_sale,499900.0,5.0,3.0,0.08,481864.0,Bloomfield,New Jersey,7003.0,1998.0,2005-04-19
51839.0,for_sale,728000.0,5.0,3.0,0.11,1072636.0,Bayonne,New Jersey,7002.0,2500.0,2016-10-05
51784.0,for_sale,479000.0,3.0,2.0,0.05,1089635.0,Bayonne,New Jersey,7002.0,1322.0,2021-05-12
106804.0,for_sale,549900.0,4.0,2.0,0.07,602308.0,Bayonne,New Jersey,7002.0,2084.0,2002-01-29
79747.0,for_sale,599999.0,6.0,4.0,0.09,1273707.0,Bayonne,New Jersey,7002.0,1406.0,2021-12-31
22611.0,for_sale,699999.0,5.0,4.0,3.76,1204246.0,Boonton,New Jersey,7005.0,4759.0,1994-05-12
16837.0,for_sale,829000.0,4.0,3.0,0.45,1563674.0,West Caldwell,New Jersey,7006.0,2508.0,2021-04-07
10768.0,for_sale,790000.0,4.0,4.0,0.17,847584.0,West Caldwell,New Jersey,7006.0,2357.0,1999-03-19
78941.0,for_sale,474999.0,4.0,2.0,0.09,1047591.0,Clifton,New Jersey,7011.0,1836.0,1987-06-02
67610.0,for_sale,599900.0,5.0,3.0,0.14,955816.0,Clifton,New Jersey,7011.0,1954.0,2020-12-16
79257.0,for_sale,500000.0,4.0,2.0,0.1,1141905.0,Clifton,New Jersey,7011.0,1500.0,2000-05-11
51477.0,for_sale,619900.0,4.0,3.0,0.08,1277798.0,Clifton,New Jersey,7011.0,1800.0,2008-11-24
15558.0,for_sale,660000.0,7.0,4.0,0.15,168306.0,Clifton,New Jersey,7011.0,2324.0,2009-09-09
72318.0,for_sale,499000.0,2.0,3.0,0.14,1319032.0,Cranford,New Jersey,7016.0,1450.0,2019-03-11
30293.0,for_sale,389900.0,2.0,2.0,0.02,524260.0,Cranford,New Jersey,7016.0,1240.0,2017-04-26
22611.0,for_sale,625000.0,3.0,2.0,0.19,972348.0,Cranford,New Jersey,7016.0,1998.0,2018-08-03
78573.0,for_sale,680000.0,6.0,5.0,0.1,1598225.0,East Orange,New Jersey,7017.0,19998.0,2019-11-18
70299.0,for_sale,140000.0,1.0,1.0,1.19,865009.0,East Orange,New Jersey,7017.0,899.0,2005-12-06
70299.0,for_sale,140000.0,1.0,1.0,1.14,865011.0,East Orange,New Jersey,7017.0,861.0,1990-11-29
106810.0,for_sale,379000.0,4.0,2.0,0.11,1739525.0,East Orange,New Jersey,7018.0,19998.0,1984-10-31
16339.0,for_sale,299000.0,3.0,1.0,0.11,1451144.0,East Orange,New Jersey,7018.0,1635.0,1999-11-18
16469.0,for_sale,1050000.0,9.0,7.0,0.55,1370061.0,East Orange,New Jersey,7018.0,7276.0,2019-03-14
102701.0,for_sale,395000.0,5.0,3.0,0.13,1142357.0,East Orange,New Jersey,7018.0,1874.0,2021-10-13
81584.0,for_sale,459000.0,2.0,2.0,0.45,961047.0,Edgewater,New Jersey,7020.0,1288.0,2013-07-16
